    x             ground state                1st excited            2nd excited   
  -20.000000000000000        3.0535191092641144E-006   1.2213326779538672E-005   2.7477174223251126E-005
  -19.899749373433583        1.2213326779803153E-005   4.8841314074381589E-005   1.0984799452981350E-004
  -19.799498746867169        2.7477174223892726E-005   1.0984799452999049E-004   2.4693048793331655E-004
  -19.699248120300751        4.8841314075437541E-005   1.9517346179966471E-004   4.3842181283751061E-004
  -19.598997493734338        7.6300501309981047E-005   3.0473392937039841E-004   6.8389892807164943E-004
  -19.498746867167920        1.0984799453237035E-004   4.3842181283821192E-004   9.8281952746975885E-004
  -19.398496240601503        1.4947555763180758E-004   5.9610583555215165E-004   1.3345232379293054E-003
  -19.298245614035089        1.9517346180387027E-004   7.7763115752319152E-004   1.7382330783024629E-003
  -19.197994987468672        2.4693048793903479E-004   9.8281952747135068E-004   2.1930571758968422E-003
  -19.097744360902254        3.0473392937696147E-004   1.2114694578622442E-003   2.6979907367936933E-003
  -18.997493734335841        3.6856959502611075E-004   1.4633564227603301E-003   3.2519182656312777E-003
  -18.897243107769423        4.3842181284767961E-004   1.7382330783052991E-003   3.8536160299484680E-003
  -18.796992481203006        5.1427343370323998E-004   2.0358295055947157E-003   4.5017547636451898E-003
  -18.696741854636592        5.9610583556499847E-004   2.3558534757346528E-003   5.1949026035867886E-003
  -18.596491228070175        6.8389892808745113E-004   2.6979907367980357E-003   5.9315282528654631E-003
  -18.496240601503761        7.7763115753989799E-004   3.0619053224079434E-003   6.7100043637291600E-003
  -18.395989974937343        8.7727951209778249E-004   3.4472398816455083E-003   7.5286111327067251E-003
  -18.295739348370926        9.8281952749243754E-004   3.8536160299544871E-003   8.3855400999832547E-003
  -18.195488721804512        1.0942252930171131E-003   4.2806347207019080E-003   9.2788981446365812E-003
  -18.095238095238095        1.2114694578882644E-003   4.7278766370268685E-003   1.0206711666905665E-002
  -17.994987468671681        1.3345232379601182E-003   5.1949026035947110E-003   1.1166930948251427E-002
  -17.894736842105264        1.4633564227916598E-003   5.6812540178517185E-003   1.2157434679579950E-002
  -17.794486215538846        1.5979373830634503E-003   6.1864533003549134E-003   1.3176034647621271E-002
  -17.694235588972433        1.7382330783424103E-003   6.7100043637393861E-003   1.4220480569115315E-002
  -17.593984962406015        1.8842090651941502E-003   7.2513930998566942E-003   1.5288465062118324E-002
  -17.493734335839598        2.0358295056381653E-003   7.8100878846112647E-003   1.6377628743454040E-002
  -17.393483709273184        2.1930571759471145E-003   8.3855400999955625E-003   1.7485565441046746E-002
  -17.293233082706767        2.3558534757848440E-003   8.9771846728130648E-003   1.8609827509615401E-002
  -17.192982456140349        2.5241784376834925E-003   9.5844406295601640E-003   1.9747931237994440E-002
  -17.092731829573935        2.6979907368553310E-003   1.0206711666920295E-002   2.0897362336130387E-002
  -16.992481203007518        2.8772477013383922E-003   1.0843386737312399E-002   2.2055581489629401E-002
  -16.892230576441104        3.0619053224728988E-003   1.1493840648918126E-002   2.3220029969594085E-002
  -16.791979949874687        3.2519182657053205E-003   1.2157434679596769E-002   2.4388135285346762E-002
  -16.691729323308270        3.4472398817184647E-003   1.2833517204087106E-002   2.5557316867555371E-002
  -16.591478696741856        3.6478222178842139E-003   1.3521424333880190E-002   2.6724991769208343E-002
  -16.491228070175438        3.8536160300359184E-003   1.4220480569134565E-002   2.7888580371841686E-002
  -16.390977443609025        4.0645707945585101E-003   1.4929999461990579E-002   2.9045512084411782E-002
